209,"人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形->27.2.1 相似三角形的判定","27.2.1 相似三角形的判定"
210,"人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形->27.2.2 相似三角形的性质","27.2.2 相似三角形的性质"
211,"人教版-初中->九年级下->第二十七章 相似->27.2 相似三角形->27.2.3 相似三角形应用举例","27.2.3 相似三角形应用举例"
212,"人教版-初中->九年级下->第二十七章 相似->27.3 位似","27.3 位似"
214,"人教版-初中->九年级下->第二十八章 锐角三角函数->28.1 锐角三角函数","28.1 锐角三角函数"
216,"人教版-初中->九年级下->第二十八章 锐角三角函数->28.2 解直角三角形及其应用->28.2.1 解直角三角形","28.2.1 解直角三角形"
217,"人教版-初中->九年级下->第二十八章 锐角三角函数->28.2 解直角三角形及其应用->28.2.2 应用举例","28.2.2 应用举例"
219,"人教版-初中->九年级下->第二十九章 投影与视图->29.1 投影","29.1 投影"
220,"人教版-初中->九年级下->第二十九章 投影与视图->29.2 三视图","29.2 三视图"
221,"人教版-初中->九年级下->第二十九章 投影与视图->29.3 课题学习 制作立体模型","29.3 课题学习 制作立体模型"
402,"苏教版-初中->九年级下->第8章 统计和概率的简单应用->8.6 收取多少保险费才合理","8.6 收取多少保险费才合理"
407,"沪教版-初中->六年级上->第一章 数的整除->第1节 整数和整除->1.1 整数与整除的意义","1.1 整数与整除的意义"
408,"沪教版-初中->六年级上->第一章 数的整除->第1节 整数和整除->1.2 因数与倍数","1.2 因数与倍数"
409,"沪教版-初中->六年级上->第一章 数的整除->第1节 整数和整除->1.3 能被2，5整除的数","1.3 能被2，5整除的数"
411,"沪教版-初中->六年级上->第一章 数的整除->第2节 分解素因数->1.4 素数、合数与分解素因数","1.4 素数、合数与分解素因数"
412,"沪教版-初中->六年级上->第一章 数的整除->第2节 分解素因数->1.5 公因数与最大公因数","1.5 公因数与最大公因数"
413,"沪教版-初中->六年级上->第一章 数的整除->第2节 分解素因数->1.6 公倍数与最小公倍数","1.6 公倍数与最小公倍数"
416,"沪教版-初中->六年级上->第二章 分数->第1节 分数的意义和性质->2.1 分数与除法","2.1 分数与除法"
417,"沪教版-初中->六年级上->第二章 分数->第1节 分数的意义和性质->2.2 分数的基本性质","2.2 分数的基本性质"
418,"沪教版-初中->六年级上->第二章 分数->第1节 分数的意义和性质->2.3 分数的大小比较","2.3 分数的大小比较"
420,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->2.4 分数的加减法","2.4 分数的加减法"
421,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->2.5 分数的乘法","2.5 分数的乘法"
422,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->2.6 分数的除法","2.6 分数的除法"
423,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->2.7 分数与小数的互化","2.7 分数与小数的互化"
424,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->拓展 无限循环小数与分数的互化","拓展 无限循环小数与分数的互化"
425,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->2.8 分数、小数的四则混和运算","2.8 分数、小数的四则混和运算"
426,"沪教版-初中->六年级上->第二章 分数->第2节 分数的运算->2.9 分数运算的应用","2.9 分数运算的应用"
429,"沪教版-初中->六年级上->第三章 比和比例->第1节 比和比例->3.1 比的意义","3.1 比的意义"
430,"沪教版-初中->六年级上->第三章 比和比例->第1节 比和比例->3.2 比的基本性质","3.2 比的基本性质"
431,"沪教版-初中->六年级上->第三章 比和比例->第1节 比和比例->3.3 比例","3.3 比例"
433,"沪教版-初中->六年级上->第三章 比和比例->第2节 百分比->3.4 百分比的意义","3.4 百分比的意义"
