教材版本,年级,章,节,小节
,,,第5节 因式分解,9.13 提取公因式法
,,,,9.14 公式法
,,,,9.15 十字相乘法
,,,,9.16 分组分解法
,,,第6节 整式的除法,9.17 同底数幂的除法
,,,,9.18 单项式除以单项式
,,,,9.19 多项式除以单项式
,,第十章 分式,第1节 分式,10.1 分式的意义
,,,,10.2 分式的基本性质
,,,第2节 分式的运算,10.3 分式的乘除
,,,,10.4 分式的加减
,,,,10.5 可以化成一元一次方程的分式方程
,,,,10.6 整数指数幂及其运算
,,第十一章 图形的运动,第1节 图形的平移,11.1 平移
,,,第2节 图形的旋转,11.2 旋转
,,,,11.3 旋转对称图形与中心对称图形
,,,,11.4 中心对称
,,,第3节 图形的翻折,11.6 轴对称
,七年级下,第十二章 实数,第1节 实数的概念,12.1 实数的概念
,,,第2节 数的开方,12.2 平方根和开平方
,,,,12.3 立方根和开立方
,,,,12.4 n次方根
,,,第3节 实数的运算,12.5 用数轴上的点表示实数
,,,,12.6 实数的运算
,,,第4节 分数指数幂,12.7 分数指数幂
,,第十三章 相交线 平行线,第1节 相交线,13.1 邻补角 对顶角
,,,,13.2 垂线
,,,,13.3 同位角 内错角 同旁内角
,,,第2节 平行线,13.4 平行线的判定
,,,,13.5 平行线的性质
,,第十四章 三角形,第1节 三角形的有关概念及性质,14.1 三角形的有关概念
,,,,14.2 三角形的内角和
,,,第2节 全等三角形,14.3 全等三角形的概念与性质
,,,,14.4 全等三角形的判断
,,,第3节 等腰三角形,14.5 等腰三角形的性质
,,,,14.6 等腰三角形的判定
,,,,14.7 等边三角形
,,第十五章 平面直角坐标系,第1节 平面直角坐标系,15.1 平面直角坐标系
,,,第2节 直角坐标平面内点的运动,15.2 直角坐标平面内点的运动
,八年级上,第十六章 二次根式,第1节 二次根式的概念和性质,16.1 二次根式
,,,,16.2 最简二次根式和同类二次根式
,,,第2节 二次根式的运算,16.3 二次根式的运算
,,第十七章 一元二次方程,第1节 一元二次方程的概念,17.1 一元二次方程的概念
,,,第2节 一元二次方程的解法,17.2 一元二次方程的解法
,,,,17.3 一元二次方程根的判别式
,,,第3节 一元二次方程的应用,17.4 一元二次方程的应用
,,第十八章 正比例函数和反比例函数,第1节 正比例函数,18.1 函数的概念
,,,,18.2 正比例函数
,,,第2节 反比例函数,18.3 反比例函数
,,,第3节 函数的表示法,18.4 函数的表示法
,,第十九章 几何证明,第1节 几何证明,19.1 命题和证明
,,,,19.2 证明举例
,,,第2节 线段的垂直平分线与角的平分线,19.3 逆命题和逆定理
,,,,19.4 线段的垂直平分线
,,,,19.5 角的平分线
,,,,19.6 轨迹
,,,第3节 直角三角形,19.7 直角三角形全等的判定
,,,,19.8 直角三角形的性质
,,,,19.9 勾股定理
,,,,19.10 两点的距离公式
,八年级下,第二十章 一次函数,第1节 一次函数的概念,20.1 一次函数的概念
,,,第2节 一次函数的图像与性质,20.2 一次函数的图像
,,,,20.3 一次函数的性质
,,,第3节 一次函数的应用,20.4 一次函数的应用
,,第二十一章 代数方程,第1节 整式方程,21.1 一元整式方程
,,,,21.2 二项方程
,,,第2节 分式方程,21.3 可化为一元二次方程的分式方程
,,,第3节 无理方程,21.4 无理方程
,,,第4节 二元二次方程组,21.5 二元二次方程和方程组
,,,,21.6 二元二次方程组的解法
,,,第5节 列方程（组）解应用题,21.7 列方程（组）解应用题
,,第二十二章 四边形,第1节 多边形,22.1 多边形
,,,第2节 平行四边形,22.2 平行四边形
,,,,22.3 特殊的平行四边形
,,,第3节 梯形,22.4 梯形
,,,,22.5 等腰梯形
,,,,22.6 三角形、梯形的中位线
,,,第4节 平面向量及其加减运算,22.7 平面向量
,,,,22.8 平面向量的加法
,,,,22.9 平面向量的减法
,,第二十三章 概率初步,第1节 事件及其发生的可能性,23.1 确定事件和随机事件
,,,,23.2 事件发生的可能性
,,,第2节 事件的概率,23.3 事件的概率
,,,,23.4 概率计算举例
,九年级上,第二十四章 相似三角形,第1节 相似形,24.1 放缩与相似形
